Epoch: 255 PSNR=21.908707621346764, SSIM=0.45668469619676444, MSE=27.6887400863253, gradientA=0, gradientB=0 
Epoch: 260 PSNR=22.72736012278226, SSIM=0.5329710669233139, MSE=27.811354301304515, gradientA=0, gradientB=0 
Epoch: 265 PSNR=22.656525965946948, SSIM=0.5107311937405031, MSE=27.717832463281102, gradientA=0, gradientB=0 
Epoch: 270 PSNR=20.679060366573328, SSIM=0.429695219922318, MSE=27.700418207622803, gradientA=0, gradientB=0 
Epoch: 275 PSNR=22.898046598743104, SSIM=0.5368201543872165, MSE=27.519074038963332, gradientA=0, gradientB=0 
Epoch: 280 PSNR=21.22543976257314, SSIM=0.423824823133903, MSE=27.929452194915555, gradientA=0, gradientB=0 
Epoch: 285 PSNR=22.136008135357017, SSIM=0.47912583623312655, MSE=27.39059068212099, gradientA=0, gradientB=0 
Epoch: 290 PSNR=22.087949119910512, SSIM=0.482466498192443, MSE=27.50619933978329, gradientA=0, gradientB=0 
Epoch: 295 PSNR=23.0020884383572, SSIM=0.5359276165552328, MSE=27.629973591484514, gradientA=0, gradientB=0 
Epoch: 300 PSNR=21.55206376644756, SSIM=0.46957935181846716, MSE=27.420887539319715, gradientA=0, gradientB=0 
Epoch: 305 PSNR=22.517807491457134, SSIM=0.49504831855000886, MSE=27.788075234811643, gradientA=0, gradientB=0 
Epoch: 310 PSNR=22.331092810113233, SSIM=0.4647061398520167, MSE=27.51331010374031, gradientA=0, gradientB=0 
Epoch: 315 PSNR=20.891991778219776, SSIM=0.4178984292123679, MSE=27.778277900524255, gradientA=0, gradientB=0 
Epoch: 320 PSNR=20.07824842308418, SSIM=0.4015279456881943, MSE=27.32948672157639, gradientA=0, gradientB=0 
Epoch: 325 PSNR=21.008107955252047, SSIM=0.4451497769137752, MSE=27.64631787612832, gradientA=0, gradientB=0 
Epoch: 330 PSNR=22.77541292816522, SSIM=0.5237580550918725, MSE=27.74951021946704, gradientA=0, gradientB=0 
Epoch: 335 PSNR=20.918707647905325, SSIM=0.4442134288532536, MSE=27.32385649297861, gradientA=0, gradientB=0 
